发布日期,岗位名称,薪酬low,薪酬high,几薪,工作城市,城市2,城市3,地区,学历,工作年限,公司名称,公司行业,其他方面,链接
2019年12月20日,招聘数据分析工程师,面议,,,西安,,,高新区,学历不限,1年以上,海康威视,电子芯片半导体,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|定期体检|弹性工作|节日礼物|岗位晋升|五险一金|技能培训|上市公司,https://www.liepin.com/job/1925307679.shtml
2019年12月20日,招聘数据分析,面议,,,通辽,,,,统招本科,1年以上,海康威视,电子芯片半导体,年底双薪|绩效奖金|交通补助|通讯津贴|定期体检|弹性工作|管理规范|上市公司|500强|发展空间大,https://www.liepin.com/job/1925407553.shtml
2019年12月20日,招聘高级IT审计经理（数据分析方向）,面议,,,杭州,,,滨江区,学历不限,1年以上,海康威视,电子芯片半导体,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助,https://www.liepin.com/job/1925395431.shtml
2019年12月20日,招聘大数据分析工程师,8,15,12,广州,,,花都区,本科及以上,3年以上,计算机软件,计算机软件,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1916697581.shtml
2019年12月20日,招聘项目数据分析专员,3,5,12,沈阳,,,,本科及以上,1年以上,沈阳成林健康科技有限公司,专业服务,五险一金|绩效奖金|全勤奖|午餐补助|带薪年假|节日礼物,https://www.liepin.com/job/1922902837.shtml
2019年12月20日,招聘万达普惠-数据分析经理,12,17,12,广州,,,天河区,本科及以上,3年以上,消费金融,消费金融,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1919235451.shtml
2019年12月20日,招聘大数据分析工程师,8,13,14,武汉,,,沌口,本科及以上,3年以上,计算机软件,计算机软件,年底双薪|绩效奖金|节日礼物|技能培训|岗位晋升|领导好|发展空间大|发展空间大,https://www.liepin.com/job/1918259677.shtml
2019年12月20日,招聘万达普惠-业务数据分析师,18,27,12,广州,,,天河区,本科及以上,3年以上,消费金融,消费金融,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1920625095.shtml
2019年12月20日,招聘医学数据分析师,18,25,12,,,,,硕士及以上,3年以上,北京某某科技有限公司,企业服务软件，大数据,,https://www.liepin.com/a/18145055.shtml
2019年12月20日,招聘采购数据分析高级工程师,面议,,,嘉兴,,,,本科及以上,3年以上,亚特电器,机械机电重工,带薪年假|节日礼物|岗位晋升|发展空间大|全勤奖|优秀员工奖|免费班车|技能培训|五险一金|团队聚餐,https://www.liepin.com/job/1921277245.shtml
2019年12月20日,招聘运营顾问（数据分析方向）,10,15,12,广州,,,花都区,本科及以上,3年以上,计算机软件,计算机软件,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1921856809.shtml
2019年12月20日,招聘数据分析经理,14,20,16,广州,,,,本科及以上,4年以上,消费金融,消费金融,带薪年假|五险一金,https://www.liepin.com/job/1924272517.shtml
2019年12月20日,招聘物流数据分析师（EIQ）,6,10,13,武汉,,,汉阳区,本科及以上,3年以上,浙江凯乐士科技有限公司,仪器电气自动化,六险一金|三餐补助|定期体检|绩效奖金|技能培训|岗位晋升|发展空间大|管理规范|节日礼物|团队聚餐,https://www.liepin.com/job/1924724873.shtml
2019年12月20日,招聘商业数据分析专员,7,15,14,佛山,,,,本科及以上,2年以上,家具/家电,家具家电,绩效奖金|带薪年假|午餐补助|节日礼物|扁平管理|管理规范|五险一金|上市公司|休闲餐点|500强,https://www.liepin.com/job/1925390581.shtml
2019年12月20日,招聘数据分析经理,49,79,14,上海,深圳,北京,,统招本科,5年以上,某互联网外资公司,互联网移动互联网电子商务，游戏产业，广告公关市场推广会展,,https://www.liepin.com/a/17220793.shtml
2019年12月20日,招聘数据分析,15,30,13,江苏,上海,,,本科及以上,5年以上,医疗/保健/美容/卫生服务,医疗保健美容卫生服务,,https://www.liepin.com/a/17182075.shtml
2019年12月20日,招聘数据分析师,5,7,12,武汉,,,,本科及以上,经验不限,武汉盛帆电子股份有限公司,仪器电气自动化,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1917347177.shtml
2019年12月20日,招聘数据分析经理,15,20,12,北京,,,,统招本科,2年以上,房地产开发/建筑/建材/工程,房地产开发建筑建材工程,,https://www.liepin.com/a/17495447.shtml
2019年12月20日,招聘大数据分析副总监,15,20,12,重庆,,,九龙坡区,学历不限,经验不限,重庆喜联科技发展有限公司,战略投资,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1923256887.shtml
2019年12月20日,招聘数据分析专家(J10007),7,10,12,西安,,,,本科及以上,3年以上,电子商务,电子商务,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923901735.shtml
2019年12月20日,招聘数据分析专员(J10162),6,10,13,西安,,,,本科及以上,3年以上,电子商务,电子商务,技能培训|岗位晋升|领导好|发展空间大|餐费补贴|免费住宿,https://www.liepin.com/job/1925350335.shtml
2019年12月20日,招聘数据分析师,5,7,12,成都,,,,本科及以上,经验不限,制药/生物工程,制药生物工程,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1922900223.shtml
2019年12月20日,招聘高级数据分析师,20,40,16,,,,,统招本科,3年以上,知名互联网公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/18077815.shtml
2019年12月20日,招聘数据分析师/BI（商务智能方向）,15,20,13,南京,,,,本科及以上,2年以上,南京协澳智能控制系统有限公司,电子芯片半导体,发展空间大|年底双薪|带薪年假|绩效奖金|午餐补助|节日礼物|五险一金|免费班车|技能培训|全勤奖,https://www.liepin.com/job/1925118167.shtml
2019年12月20日,招聘数据分析工程师,9,12,14,苏州,,,,本科及以上,2年以上,制药/生物工程,制药生物工程,年底双薪|午餐补助|定期体检|年度旅游|节日礼物|技能培训|岗位晋升|五险一金|领导好|发展空间大,https://www.liepin.com/job/1924478641.shtml
2019年12月20日,招聘数据分析师,12,20,12,温州,,,龙湾区,统招本科,2年以上,服装服饰/纺织/皮革,服装服饰纺织皮革,,https://www.liepin.com/a/17491743.shtml
2019年12月20日,招聘数据分析leader,30,45,12,北京,,,,统招本科,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17643727.shtml
2019年12月20日,招聘数据分析工程师（应用）,面议,,,杭州,,,滨江区,本科及以上,1年以上,计算机软件,计算机软件,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1924600453.shtml
2019年12月20日,招聘数据分析工程师（高级）,面议,,,杭州,,,江南,本科及以上,3年以上,计算机软件,计算机软件,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1924600397.shtml
2019年12月20日,招聘数据分析工程师,面议,,,杭州,,,滨江区,本科及以上,1年以上,计算机软件,计算机软件,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1924600291.shtml
2019年12月20日,招聘车险核保岗（统计&amp;数据分析方向）,7,11,14,上海,,,,统招本科,1年以上,保险,保险,发展空间大|带薪年假|定期体检|领导好|岗位晋升|五险一金|休闲餐点|午餐补助|500强|团队聚餐,https://www.liepin.com/job/1920944345.shtml
2019年12月20日,招聘市场调研与策划数据分析,30,49,16,,,,,统招本科,5年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/18225007.shtml
2019年12月20日,招聘数据分析中心负责人,25,31,16,广州,,,,统招本科,5年以上,教育/培训/学术/科研/院校,教育培训学术科研院校,,https://www.liepin.com/a/18175907.shtml
2019年12月20日,招聘大数据分析专家,面议,,,上海,,,田林,学历不限,5年以上,上海电气集团企业服务有限公司,专业服务,绩效奖金|带薪年假|定期体检|岗位晋升|上市公司|500强,https://www.liepin.com/job/1921237209.shtml
2019年12月20日,招聘数据分析（客服）,面议,,,南京,,,开发区,本科及以上,3年以上,T3出行,互联网电商,绩效奖金|带薪年假|午餐补助|定期体检|扁平管理|管理规范|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1925375981.shtml
2019年12月20日,招聘高级数据分析师,18,35,12,南京,,,江宁区,本科及以上,5年以上,T3出行,互联网电商,五险一金|绩效奖金|股票期权|午餐补助|带薪年假,https://www.liepin.com/job/1922081343.shtml
2019年12月20日,招聘数据分析专员,10,20,12,重庆,,,石桥铺,本科及以上,2年以上,T3出行,互联网电商,绩效奖金|带薪年假|午餐补助|定期体检|扁平管理|管理规范|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1922062149.shtml
2019年12月20日,招聘高级数据分析师,18,20,12,南京,,,,本科及以上,3年以上,T3出行,互联网电商,绩效奖金|带薪年假|午餐补助|定期体检|扁平管理|管理规范|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1921842283.shtml
2019年12月20日,招聘数据分析师,面议,,,南京,,,开发区,本科及以上,3年以上,T3出行,互联网电商,绩效奖金|带薪年假|午餐补助|定期体检|扁平管理|管理规范|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1921369185.shtml
2019年12月20日,招聘数据分析师,4,7,12,杭州,,,四季青,大专及以上,1年以上,杭州嘉信商贸有限公司,批发零售,绩效奖金|扁平管理|公司规模大,https://www.liepin.com/job/1916362221.shtml
2019年12月20日,招聘数据分析,6,9,13,宁波,,,余姚,统招本科,3年以上,舜宇,电子芯片半导体,年底双薪|股票期权|带薪年假|五险一金|岗位晋升|上市公司|500强|发展空间大|公司规模大|节日礼物,https://www.liepin.com/job/1923741377.shtml
2019年12月20日,招聘数据分析,10,15,12,杭州,,,,大专及以上,3年以上,电子商务,电子商务,,https://www.liepin.com/a/18183235.shtml
2019年12月20日,招聘数据分析工程师 3010091,8,23,13,北京,,,,本科及以上,2年以上,富士康工业互联网股份有限公司,上市,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923761113.shtml
2019年12月20日,招聘数据分析高级工程师 3010092,15,27,13,北京,,,,本科及以上,8年以上,富士康工业互联网股份有限公司,上市,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923761017.shtml
2019年12月20日,招聘数据分析高级工程师 3010092,15,27,13,深圳,,,龙华区,本科及以上,8年以上,富士康工业互联网股份有限公司,上市,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923753323.shtml
2019年12月20日,招聘数据分析工程师 3010091,8,23,13,深圳,,,龙华区,本科及以上,2年以上,富士康工业互联网股份有限公司,上市,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923753193.shtml
2019年12月20日,招聘营销数据分析,5,8,12,嘉兴,,,,大专及以上,1年以上,家具/家电,家具家电,带薪年假|定期体检|节日礼物|五险一金|发展空间大,https://www.liepin.com/job/1925392257.shtml
2019年12月20日,招聘国际品牌部数据分析师Data Analyst(J11260),10,20,12,上海,,,,本科及以上,5年以上,家具/家电,家具家电,绩效奖金|五险一金|节日礼物|通讯津贴|上市公司|带薪年假,https://www.liepin.com/job/1920609787.shtml
2019年12月20日,招聘数据分析,20,40,17,,,,,统招本科,5年以上,深圳知名科技股份有限公司,服务系统集成，通信(设备运营增值)，计算机软件,,https://www.liepin.com/a/17639499.shtml
2019年12月20日,招聘数据分析师（碰撞场景探索与建模方向）,12,20,12,成都,,,高新区,本科及以上,3年以上,互联网+,互联网+,,https://www.liepin.com/a/17553261.shtml
2019年12月20日,招聘数据分析/数据策略/数据模型,20,40,16,,,,,统招本科,3年以上,基金/证券/期货/投资,基金证券期货投资,,https://www.liepin.com/a/17477383.shtml
2019年12月20日,招聘数据分析师,25,50,16,,,,,统招本科,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/18111417.shtml
2019年12月20日,招聘业务数据分析,20,40,12,上海,,,浦东新区,统招本科,1年以上,互联网+,互联网+,,https://www.liepin.com/a/17988109.shtml
2019年12月20日,招聘高级数据分析工程师（市场预测）,25,50,12,深圳,,,福田区,统招本科,3年以上,通信(设备/运营/增值),通信(设备运营增值),,https://www.liepin.com/a/17952739.shtml
2019年12月20日,招聘商业化数据分析师 NO.MX82229,50,60,16,上海,,,浦东新区,统招本科,3年以上,上海某文化传播公司,传媒，互联网移动互联网电子商务,,https://www.liepin.com/a/17911627.shtml
2019年12月20日,招聘人力资源数据分析高级专家/资深专家 NO.CM37162,30,50,12,杭州,,,,统招本科,5年以上,快递物流,快递物流,,https://www.liepin.com/a/17840795.shtml
2019年12月20日,招聘数据分析专家/高级专家(业务) NO.IW85341,17,34,12,杭州,,,,统招本科,3年以上,快递物流,快递物流,,https://www.liepin.com/a/17840669.shtml
2019年12月20日,招聘数据分析专家,50,80,12,,,,,统招本科,5年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17688419.shtml
2019年12月20日,招聘商业数据分析师,20,40,12,,,,,统招本科,5年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17588751.shtml
2019年12月20日,招聘数据分析师-用户增长方向,25,50,13,,,,,统招本科,2年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/16972205.shtml
2019年12月20日,招聘数据分析,8,10,12,上海,,,,大专及以上,2年以上,上海皓申职业介绍所,专业服务,带薪年假|五险一金,https://www.liepin.com/job/1924279521.shtml
2019年12月20日,招聘python数据分析及可视化,15,25,14,,,,,本科及以上,2年以上,新聚思北京,服务,五险一金|带薪年假|定期体检|弹性工作|午餐补助,https://www.liepin.com/job/1922203219.shtml
2019年12月20日,招聘大数据分析师,10,20,13,北京,,,,本科及以上,2年以上,新聚思北京,服务,五险一金|带薪年假|定期体检|弹性工作|午餐补助,https://www.liepin.com/job/1915626773.shtml
2019年12月20日,招聘高级数据分析师,25,40,14,,,,,统招本科,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17064783.shtml
2019年12月20日,招聘数据分析经理/总监,30,50,14,,,,,统招本科,5年以上,国内某知名互联网公司,互联网移动互联网电子商务，影视媒体艺术文化出版，教育培训学术科研院校,,https://www.liepin.com/a/17064315.shtml
2019年12月20日,招聘 #132190 AL -数据分析,30,48,16,,,,,统招本科,5年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17210179.shtml
2019年12月20日,招聘驾驶场景数据分析工程师,15,25,12,,,,,硕士及以上,5年以上,汽车/摩托车,汽车摩托车,年底双薪|交通补助|午餐补助|汽车创新中心|工信部创新中心,https://www.liepin.com/job/1915289795.shtml
2019年12月20日,招聘主任研究员(数据分析方向),25,30,12,北京,,,,硕士及以上,3年以上,北京某日资研发机构,计算机硬件网络设备，汽车摩托车，服务系统集成,,https://www.liepin.com/a/18077159.shtml
2019年12月20日,招聘数据分析,20,40,12,上海,,,,统招本科,3年以上,某上市五百强公司,互联网移动互联网电子商务，计算机软件，通信(设备运营增值),,https://www.liepin.com/a/18107159.shtml
2019年12月20日,招聘数据分析专家,15,25,13,上海,,,徐汇区,统招本科,4年以上,某上市五百强公司,互联网移动互联网电子商务，计算机软件，通信(设备运营增值),,https://www.liepin.com/a/17869035.shtml
2019年12月20日,招聘商品数据分析主管,7,9,12,佛山,,,,大专及以上,5年以上,佛山淘气贝贝服饰有限公司,服装纺织,,https://www.liepin.com/job/1924240631.shtml
2019年12月20日,招聘初级数据分析员,6,10,12,广州,,,天河区,大专及以上,1年以上,保险,保险,,https://www.liepin.com/a/18095331.shtml
2019年12月20日,招聘数据分析师-网络传输组,15,25,15,广州,,,番禺区,本科及以上,经验不限,广州市百果园信息技术有限公司,上市,年底双薪|带薪年假|发展空间大,https://www.liepin.com/job/1919116995.shtml
2019年12月20日,招聘数据分析师（网络安全方向）,20,30,14,,,,,统招本科,3年以上,国内某知名IT公司,计算机软件，服务系统集成,,https://www.liepin.com/a/18217349.shtml
2019年12月20日,招聘数据统计,4,6,12,北京,,,,本科及以上,1年以上,中龙环球投资管理(北京)有限公司,医疗保健美容,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1916685441.shtml
2019年12月20日,招聘数据统计,4,8,12,南宁,,,兴宁区,大专及以上,经验不限,人力资源,人力资源,,https://www.liepin.com/a/18264061.shtml
2019年12月20日,招聘数据统计专员,3,5,12,上海,,,江宁路,大专及以上,经验不限,薇琳医疗美容集团,医疗保健美容,午餐补助|带薪年假|五险一金|发展空间大,https://www.liepin.com/job/199003102.shtml
2019年12月20日,招聘数据统计主管,8,13,12,上海,,,徐汇区,大专及以上,3年以上,网鱼网咖,轮,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1922623965.shtml
2019年12月20日,招聘数据统计岗,8,10,15,杭州,,,,本科及以上,经验不限,保险,保险,绩效奖金|带薪年假|定期体检|年度旅游|节日礼物|技能培训|岗位晋升|五险一金|上市公司|500强,https://www.liepin.com/job/1920515059.shtml
2019年12月20日,招聘Data Analysis Supervisor,15,20,13,上海,,,静安区,统招本科,2年以上,食品/饮料/烟酒/日化,食品饮料烟酒日化,,https://www.liepin.com/a/18175715.shtml
2019年12月20日,招聘数据统计员,4,5,12,杭州,,,余杭区,大专及以上,1年以上,西奥电梯,机械机电重工,交通补助|通讯津贴|午餐补助|五险一金,https://www.liepin.com/job/1924997539.shtml
2019年12月20日,招聘数据统计专员,4,6,12,杭州,,,余杭区,大专及以上,经验不限,杭州款库优品服饰有限公司,服装纺织,技能培训|岗位晋升|领导好|发展空间大,https://www.liepin.com/job/1921582927.shtml
2019年12月20日,招聘数据统计文员,3,5,12,成都,,,,中专/中技及以上,2年以上,联想电子科技成都,计算机网络设备,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1922398811.shtml
2019年12月20日,招聘数据统计主管,5,8,12,苏州,,,玉山,大专及以上,2年以上,意尔康,服装纺织,带薪年假|扁平管理|技能培训|岗位晋升,https://www.liepin.com/job/1918407525.shtml
2019年12月20日,招聘数据统计员,7,10,12,上海,,,川沙,大专及以上,3年以上,贸易/进出口,贸易进出口,五险一金|工作餐|免费住宿,https://www.liepin.com/job/1914147657.shtml
2019年12月20日,招聘MKT Data Analysis Manager,面议,,,上海,,,,统招本科,5年以上,连通(杭州)技术服务有限公司上海分公司,互联网电商,年底双薪|绩效奖金|技能培训|岗位晋升|五险一金|领导好|发展空间大,https://www.liepin.com/job/1924396199.shtml
2019年12月20日,招聘数据专员 /统计,4,6,12,泉州,,,晋江,大专及以上,1年以上,泉州零邦商贸有限公司,其他,年底双薪|绩效奖金|带薪年假|午餐补助|年度旅游|节日礼物|生育补贴|全勤奖|优秀员工奖|五险,https://www.liepin.com/job/1917837121.shtml
2019年12月20日,招聘 临床数据统计师,面议,,,北京,,,,统招本科,3年以上,制药/生物工程,制药生物工程,绩效奖金|带薪年假|午餐补助|弹性工作|免费班车|管理规范|岗位晋升|五险一金|子女福利|发展空间大,https://www.liepin.com/job/1917589411.shtml
2019年12月20日,招聘临床数据统计师,30,60,12,,,,,硕士及以上,5年以上,制药/生物工程,制药生物工程,,https://www.liepin.com/a/17357759.shtml
2019年12月20日,招聘Assistant Manager RTM Data Analysis,面议,,,北京,,,,本科及以上,1年以上,汽车/摩托车,汽车摩托车,绩效奖金|带薪年假|通讯津贴|定期体检|弹性工作|五险一金|子女福利,https://www.liepin.com/job/1922308315.shtml
2019年12月20日,招聘IT Business Analyst Data Analysis,25,29,12,上海,,,,学历不限,5年以上,医疗/保健/美容/卫生服务,医疗保健美容卫生服务,,https://www.liepin.com/a/17880627.shtml
2019年12月20日,招聘数据统计分析岗,15,20,12,重庆,,,,学历不限,3年以上,农/林/牧/渔,农林牧渔,,https://www.liepin.com/a/18056693.shtml
2019年12月20日,招聘数据统计分析员,5,6,12,上海,,,奉贤区,学历不限,经验不限,上海保立佳化工股份有限公司,石油化工,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1922547373.shtml
2019年12月20日,招聘数据管理统计经理,21,25,14,台州,,,,硕士及以上,5年以上,制药/生物工程,制药生物工程,带薪年假|定期体检|弹性工作|五险一金|双休,https://www.liepin.com/job/1924419249.shtml
2019年12月20日,招聘临床数据统计分析师,20,40,16,,,,,统招本科,2年以上,医疗大数据公司,互联网移动互联网电子商务，计算机软件，制药生物工程,,https://www.liepin.com/a/16956967.shtml
2019年12月20日,招聘市场战略与数据统计岗,面议,,,上海,,,陆家嘴,统招本科,2年以上,保险,保险,领导好|岗位晋升|发展空间大|绩效奖金|交通补助|通讯津贴|午餐补助,https://www.liepin.com/job/1915012957.shtml
2019年12月20日,招聘客服专员（数据统计）,5,6,12,上海,,,闵行区,本科及以上,1年以上,检测/认证,检测认证,带薪年假|交通补助|午餐补助|定期体检|年度旅游|节日礼物|岗位晋升|五险一金|团队聚餐|年终多薪,https://www.liepin.com/job/1925422949.shtml
2019年12月20日,招聘临床数据统计总监/经理,20,35,12,北京,,,,本科及以上,5年以上,制药/生物工程,制药生物工程,带薪年假|定期体检|五险一金|领导好|发展空间大|公司规模大|周末双休,https://www.liepin.com/job/1923565465.shtml
2019年12月20日,招聘数据统计专员/对账专员,6,8,12,上海,,,长宁区,本科及以上,经验不限,百秋,其他,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1921132231.shtml
2019年12月20日,招聘数据统计分析工程师,8,10,13,青岛,,,,本科及以上,2年以上,汽车/摩托车,汽车摩托车,五险一金|年底双薪|年底奖金|通讯津贴|公司规模大|发展空间大,https://www.liepin.com/job/1923687591.shtml
2019年12月20日,招聘临床数据统计分析师,9,15,12,上海,,,浦东新区,本科及以上,经验不限,制药/生物工程,制药生物工程,带薪年假|定期体检|弹性工作|节日礼物|免费班车|管理规范|技能培训,https://www.liepin.com/job/1924871959.shtml
2019年12月20日,招聘实验数据统计分析专员,10,15,12,杭州,,,,硕士及以上,1年以上,制药/生物工程,制药生物工程,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1917256195.shtml
2019年12月20日,招聘临床试验数据统计师,8,20,12,南京,,,浦口区,硕士及以上,1年以上,制药/生物工程,制药生物工程,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|管理规范|五险一金|公司规模大,https://www.liepin.com/job/1915251107.shtml
2019年12月20日,招聘临床试验数据统计师,8,20,12,成都,,,小天竺,硕士及以上,1年以上,制药/生物工程,制药生物工程,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|管理规范|五险一金|公司规模大,https://www.liepin.com/job/1915251063.shtml
2019年12月20日,招聘临床试验数据统计师,10,28,12,上海,,,南京东路,硕士及以上,1年以上,制药/生物工程,制药生物工程,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|管理规范|五险一金|公司规模大,https://www.liepin.com/job/1915250854.shtml
2019年12月20日,招聘数据统计分析员（临床）,8,12,12,上海,,,浦东新区,本科及以上,经验不限,制药/生物工程,制药生物工程,带薪年假|定期体检|弹性工作|节日礼物|免费班车|管理规范|技能培训,https://www.liepin.com/job/1924871809.shtml
2019年12月20日,招聘临床数据管理和统计专员,9,12,14,北京,,,,统招本科,1年以上,制药/生物工程,制药生物工程,带薪年假|绩效奖金|定期体检|弹性工作|年度旅游|扁平管理|五险一金|上市公司|年底双薪,https://www.liepin.com/job/1918218873.shtml
2019年12月20日,招聘运营管理主管（经营数据统计分析）,8,12,12,北京,,,,大专及以上,2年以上,光大养老健康产业发展有限公司,基金证券投资,扁平管理|发展空间大,https://www.liepin.com/job/1925105005.shtml
2019年12月20日,招聘零售营运助理（英文翻译、数据统计）,面议,,,北京,,,国贸,统招本科,3年以上,琳玛贸易,服装纺织,年底双薪|发展空间大|绩效奖金|带薪年假|通讯津贴|定期体检|五险一金,https://www.liepin.com/job/198846253.shtml
2019年12月19日,招聘会员数据分析（高级经理/经理）,25,30,14,南京,,,,硕士及以上,5年以上,知名母婴连锁企业,百货批发零售，互联网移动互联网电子商务,,https://www.liepin.com/a/17751647.shtml
2019年12月19日,招聘数据分析产品经理,23,37,12,北京,,,,统招本科,3年以上,人工智能,人工智能,,https://www.liepin.com/a/18253551.shtml
2019年12月19日,招聘数据分析,30,60,12,,,,,本科及以上,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/18253499.shtml
2019年12月19日,招聘数据分析,8,15,12,深圳,,,,本科及以上,1年以上,火乐,轮,绩效奖金|带薪年假|交通补助|扁平管理|岗位晋升|五险一金|团队聚餐|领导好|发展空间大,https://www.liepin.com/job/1925373433.shtml
2019年12月19日,招聘高级数据分析师,20,35,14,北京,,,来广营,本科及以上,3年以上,猎聘,上市,,https://www.liepin.com/job/1921388287.shtml
2019年12月19日,招聘数据分析师,6,10,12,厦门,,,,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|扁平管理|五险一金|发展空间大,https://www.liepin.com/job/1925411581.shtml
2019年12月19日,招聘数据分析师（资源分析方向）,15,20,13,北京,,,,本科及以上,3年以上,爱卡汽车网,未融资,定期体检|带薪年假|午餐补助|五险一金|全勤奖|交通补助,https://www.liepin.com/job/1919062555.shtml
2019年12月19日,招聘数据分析经理,面议,,,上海,,,华漕,本科及以上,5年以上,德力西电气,仪器电气自动化,绩效奖金|带薪年假|通讯津贴|午餐补助|定期体检|弹性工作|节日礼物|免费班车|五险一金|定期团建,https://www.liepin.com/job/1925411387.shtml
2019年12月19日,招聘数据分析实习,1,2,12,宁德,,,,本科及以上,经验不限,新能源,新能源,公司规模大|发展空间大|股票期权|带薪年假|技能培训|上市公司|五险一金|岗位晋升,https://www.liepin.com/job/1925411321.shtml
2019年12月19日,招聘数据分析师,15,25,12,北京,,,,本科及以上,2年以上,游戏产业,游戏产业,午餐补助|弹性工作|扁平管理|岗位晋升|休闲餐点|发展空间大,https://www.liepin.com/job/1924757401.shtml
2019年12月19日,招聘数据分析专员,4,7,13,无锡,,,锡山区,统招本科,经验不限,江苏红豆实业股份有限公司,服装纺织,,https://www.liepin.com/job/1917107929.shtml
2019年12月19日,招聘数据分析师,8,14,14,南京,,,,统招本科,2年以上,满帮集团,轮,公司规模大|优秀员工奖|技能培训|岗位晋升|股票期权|扁平管理|领导好|行业独角兽|发展空间大|外派津贴,https://www.liepin.com/job/1925410779.shtml
2019年12月19日,招聘数据分析师,10,15,12,天津,,,,硕士及以上,经验不限,中法渤海地质服务有限公司,石油化工,,https://www.liepin.com/job/1925364281.shtml
2019年12月19日,招聘WXG03-211小程序数据分析工程师（广州）,面议,,,广州,,,,本科及以上,1年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925410537.shtml
2019年12月19日,招聘WXG03-微信小程序&amp;公众号数据分析工程师（广州）,面议,,,广州,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925410535.shtml
2019年12月19日,招聘33676-数据分析经理,面议,,,深圳,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925387309.shtml
2019年12月19日,招聘25925-高级数据分析师（深圳）,面议,,,深圳,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925363277.shtml
2019年12月19日,招聘17759-腾讯视频高级数据分析师 – 短视频业务,面议,,,北京,,,,本科及以上,5年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925313345.shtml
2019年12月19日,招聘21228-开放世界MMORPG游戏数据分析,面议,,,深圳,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925278109.shtml
2019年12月19日,招聘27562-资深SOC手游数据分析,面议,,,深圳,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925278089.shtml
2019年12月19日,招聘28297-二次元手游数据分析（深圳）,面议,,,深圳,,,,本科及以上,3年以上,腾讯,互联网电商,,https://www.liepin.com/job/1925253793.shtml
