小区,地区,厅,面积,单位,方向,状态,层,build-year,形式,钱,单位,网址,推荐语
育新花园 ,西三旗,4房间1卫 ,98.1,平米, 东北 , 简装 , 低楼层(共22层) , 1996年建 , 塔楼,599,万,https://bj.lianjia.com/ershoufang/101106421890.html,育新花园 4房间1卫 599万
尚都国际中心 ,东大桥,1室1厅 ,287.61,平米, 南 东南 东 , 其他 , 高楼层(共29层) , 2004年建 , 塔楼,1180,万,https://bj.lianjia.com/ershoufang/101106421860.html,尚都国际中心 1室1厅 1180万
安华里社区 ,安贞,3室1厅 ,68.86,平米, 东 南 北 , 简装 , 低楼层(共6层) , 1988年建 , 板楼,570,万,https://bj.lianjia.com/ershoufang/101106421711.html,安华里社区 3室1厅 570万
岭南路38号院 ,定慧寺,3室1厅 ,80.39,平米, 东 北 , 简装 , 中楼层(共16层) , 1992年建 , 塔楼,780,万,https://bj.lianjia.com/ershoufang/101106421606.html,定慧寺 带电梯三居室 满五年唯一
文联宿舍 ,马甸,3室1厅 ,79.5,平米, 东 南 西 , 其他 , 中楼层(共20层) , 1992年建 , 塔楼,1100,万,https://bj.lianjia.com/ershoufang/101106421538.html,文联宿舍 3室1厅 1100万
兴化西里 ,和平里,3室1厅 ,73.51,平米, 南 北 , 其他 , 顶层(共5层) , 1976年建 , 板楼,670,万,https://bj.lianjia.com/ershoufang/101106421504.html,兴化西里 3室1厅 670万
椿树园 ,宣武门,1室1厅 ,47.95,平米, 西 , 简装 , 中楼层(共17层) , 1999年建 , 塔楼,589,万,https://bj.lianjia.com/ershoufang/101106421441.html,正对花园 电梯直达 采光好 诚心出售
竹杆胡同 ,朝阳门内,2室1厅 ,68.36,平米, 东北 , 其他 , 中楼层(共9层) , 2003年建 , 板楼,730,万,https://bj.lianjia.com/ershoufang/101106421349.html,竹杆胡同 2室1厅 730万
新城乐居 ,临河里,1室1厅 ,63.04,平米, 南 , 简装 , 底层(共28层) , 2012年建 , 板塔结合,285,万,https://bj.lianjia.com/ershoufang/101106421283.html,新城乐居 1室1厅 285万
世嘉博苑 ,西红门,2室1厅 ,85.45,平米, 南 , 其他 , 低楼层(共15层) , 2009年建 , 板塔结合,430,万,https://bj.lianjia.com/ershoufang/101106421254.html,世嘉博苑 2室1厅 430万
玉林东里一区 ,右安门外,1室1厅 ,43.7,平米, 东 , 其他 , 低楼层(共6层) , 1992年建 , 板楼,260,万,https://bj.lianjia.com/ershoufang/101106421081.html,玉林东里一区 1室1厅 260万
世纪星城 ,通州北苑,6室3厅 ,244.14,平米, 南 北 , 其他 , 底层(共12层) , 2005年建 , 板楼,800,万,https://bj.lianjia.com/ershoufang/101106420987.html,通州 两广路沿线 下跃带70平花园，单价3.2万 明厨明卫
宋家庄家园 ,刘家窑,2室1厅 ,69.31,平米, 南 , 简装 , 低楼层(共29层) , 2010年建 , 塔楼,335,万,https://bj.lianjia.com/ershoufang/101106420822.html,宋家庄家园 2室1厅 335万
鸿坤理想城礼域府 ,西红门,2室1厅 ,94.55,平米, 南 北 , 其他 , 低楼层(共15层) , 2011年建 , 板楼,550,万,https://bj.lianjia.com/ershoufang/101106420707.html,鸿坤理想城礼域府 2室1厅 550万
北洼西里 ,紫竹桥,1室1厅 ,51.6,平米, 南 , 精装 , 高楼层(共18层) , 1998年建 , 塔楼,460,万,https://bj.lianjia.com/ershoufang/101106420573.html,北洼西里 1室1厅 460万
兆丰园 ,青塔,3室2厅 ,137.56,平米, 东北 , 简装 , 底层(共20层) , 2000年建 , 塔楼,590,万,https://bj.lianjia.com/ershoufang/101106420241.html,兆丰园3室2厅2卫，看房方便，户型方正
重兴园 ,鲁谷,2室1厅 ,87,平米, 南 , 其他 , 中楼层(共24层) , 2003年建 , 塔楼,399,万,https://bj.lianjia.com/ershoufang/101106420111.html,重兴园 2室1厅 399万
旗胜家园 ,西三旗,2室1厅 ,89.69,平米, 南 北 , 精装 , 高楼层(共21层) , 2009年建 , 板塔结合,405,万,https://bj.lianjia.com/ershoufang/101106420023.html,旗胜家园 2室1厅 405万
山水欧雷山二期 ,北苑,2室2厅 ,124.75,平米, 南 北 , 精装 , 中楼层(共12层) , 2011年建 , 板楼,790,万,https://bj.lianjia.com/ershoufang/101106420001.html,公园里的家！花园洋房大两居，精装，诚心出售！
劲松南路 ,劲松,2室1厅 ,65.19,平米, 东 南 北 , 精装 , 中楼层(共18层) , 1997年建 , 塔楼,330,万,https://bj.lianjia.com/ershoufang/101106419988.html,劲松南路 2室1厅 330万
增光路40号院 ,甘家口,2室1厅 ,64,平米, 南 西 北 , 简装 , 高楼层(共14层) , 1980年建 , 板塔结合,600,万,https://bj.lianjia.com/ershoufang/101106419894.html,南北通透，电梯直达，楼层好，采光好。
花园北里 ,丰台其它,2室1厅 ,50.1,平米, 南 , 其他 , 中楼层(共5层) , 1981年建 , 板楼,179,万,https://bj.lianjia.com/ershoufang/101106419870.html,花园北里 2室1厅 179万
玉林里小区 ,右安门外,3室1厅 ,76.6,平米, 南 北 , 其他 , 顶层(共6层) , 1989年建 , 板楼,459,万,https://bj.lianjia.com/ershoufang/101106419791.html,玉林里小区 3室1厅 459万
国兴城 ,后沙峪,1室1厅 ,53.61,平米, 南 , 其他 , 中楼层(共13层) , 2016年建 , 板楼,270,万,https://bj.lianjia.com/ershoufang/101106419782.html,国兴城 1室1厅 270万
学院路14号院 ,学院路,2室1厅 ,75.78,平米, 南 北 , 精装 , 中楼层(共6层) , 2000年建 , 板楼,650,万,https://bj.lianjia.com/ershoufang/101106419773.html,学院路14号院 2室1厅 650万
玺萌鹏苑 ,草桥,4室1厅 ,152.92,平米, 东南 , 其他 , 高楼层(共24层) , 2002年建 , 塔楼,820,万,https://bj.lianjia.com/ershoufang/101106419719.html,玺萌鹏苑 4室1厅 820万
二七剧场路 ,月坛,1室1厅 ,39.9,平米, 南 , 其他 , 顶层(共6层) , 1982年建 , 板楼,580,万,https://bj.lianjia.com/ershoufang/101106419536.html,二七剧场路 1室1厅 580万
香悦四季 ,马坡,2室1厅 ,77.65,平米, 东北 , 其他 , 低楼层(共13层) ,  , 板楼,262,万,https://bj.lianjia.com/ershoufang/101106419114.html,香悦四季 2室1厅 262万
西便门西里 ,木樨地,2室1厅 ,56.77,平米, 南 , 精装 , 低楼层(共18层) , 1990年建 , 塔楼,565,万,https://bj.lianjia.com/ershoufang/101106419028.html,1990年公房 精装修 带电梯 采光好 广电总局单位分房
团结湖东里 ,团结湖,2室1厅 ,59.69,平米, 南 北 , 精装 , 中楼层(共6层) , 1990年建 , 板楼,378,万,https://bj.lianjia.com/ershoufang/101106418872.html,团结湖东里1991年3层双南向两居室满五年公房随时看
国际花园 ,长阳,3室1厅 ,88.27,平米, 南 北 , 精装 , 高楼层(共18层) , 2014年建 , 板楼,357,万,https://bj.lianjia.com/ershoufang/101106418837.html,国际花园 3室1厅 357万
智慧大厦 ,西直门,3室2厅 ,125.31,平米, 西南 , 精装 , 低楼层(共22层) , 2005年建 , 塔楼,1000,万,https://bj.lianjia.com/ershoufang/101106418673.html,智慧大厦 3室2厅 1000万
银地家园 ,花乡,2室1厅 ,71.97,平米, 南 北 , 其他 , 低楼层(共7层) , 1999年建 , 板楼,350,万,https://bj.lianjia.com/ershoufang/101106418435.html,银地家园 2室1厅 350万
理想家园 ,西红门,2室1厅 ,72.04,平米, 西南 , 其他 , 高楼层(共25层) , 2013年建 , 塔楼,204,万,https://bj.lianjia.com/ershoufang/101106418432.html,理想家园 2室1厅 204万
后现代城D区 ,大望路,1室1厅 ,68.78,平米, 北 , 精装 , 中楼层(共27层) , 2006年建 , 塔楼,440,万,https://bj.lianjia.com/ershoufang/101106418325.html,中高层 户型方正 大落地窗 满五年唯一  诚意出售
望京西园二区 ,望京,3室2厅 ,112.94,平米, 南 北 , 精装 , 顶层(共6层) , 1997年建 , 板楼,680,万,https://bj.lianjia.com/ershoufang/101106418315.html,望京西园二区南北通透3居室  婚房装修
澳林春天四期 ,奥林匹克公园,2室1厅 ,88.9,平米, 南 北 , 精装 , 底层(共13层) , 2004年建 , 板楼,820,万,https://bj.lianjia.com/ershoufang/101106418153.html,澳林春天 带电梯 小两居 精装修 拎包入住 看房方便
建新南区 ,顺义城,1室1厅 ,56.74,平米, 南 北 , 简装 , 中楼层(共6层) , 1987年建 , 板楼,300,万,https://bj.lianjia.com/ershoufang/101106418130.html,建新南区 南北朝向 看房方便 业主诚心出售
北沙滩6号院 ,南沙滩,3室1厅 ,67.13,平米, 南 北 , 精装 , 中楼层(共7层) , 1992年建 , 板楼,505,万,https://bj.lianjia.com/ershoufang/101106418120.html,北沙滩6号院 3室1厅 505万
吉祥里 ,朝阳门外,3室1厅 ,126.34,平米, 西南 , 其他 , 低楼层(共18层) , 1993年建 , 塔楼,1150,万,https://bj.lianjia.com/ershoufang/101106418115.html,满五公房个税1%  婚房装修   环境优美管理完善
同馨家园 ,青塔,2室1厅 ,76.23,平米, 南 北 , 其他 , 中楼层(共16层) , 2012年建 , 板楼,389,万,https://bj.lianjia.com/ershoufang/101106417746.html,同馨家园 2室1厅 389万
三里河三区 ,月坛,2室1厅 ,59.7,平米, 东 西 , 简装 , 高楼层(共6层) , 1991年建 , 板楼,840,万,https://bj.lianjia.com/ershoufang/101106417683.html,三三91年楼龄 已完成改造 满五唯一 看房有钥匙
枫丹丽舍 ,西三旗,3室2厅 ,138.15,平米, 南 北 , 精装 , 中楼层(共5层) , 2001年建 , 板楼,915,万,https://bj.lianjia.com/ershoufang/101106417654.html,枫丹丽舍精装修 不临街 诚心卖 看房方便
成府路20号院 ,五道口,3室1厅 ,94,平米, 南 北 , 其他 , 中楼层(共7层) , 2000年建 , 板楼,920,万,https://bj.lianjia.com/ershoufang/101106417631.html,地大院里2000年的房子，满五年唯一的公房，随时签约
新马家园 ,马坡,2室1厅 ,80.48,平米, 南 北 , 其他 , 中楼层(共27层) , 2013年建 , 板楼,245,万,https://bj.lianjia.com/ershoufang/101106417600.html,精装修，拎包入住，视野开阔，南北通透
朝丰家园 ,豆各庄,2室1厅 ,73.7,平米, 南 , 精装 , 高楼层(共18层) , 2009年建 , 板楼,315,万,https://bj.lianjia.com/ershoufang/101106417478.html,朝丰家园 2室1厅 315万
蓝海苑 ,首都机场,2室1厅 ,107.5,平米, 南 北 , 简装 , 低楼层(共12层) , 2006年建 , 板楼,460,万,https://bj.lianjia.com/ershoufang/101106417384.html,蓝天苑两居双卫  带电梯  南北通透   楼龄新
西山枫林四期 ,苹果园,4室1厅 ,125.28,平米, 南 北 , 精装 , 高楼层(共6层) , 2007年建 , 板楼,560,万,https://bj.lianjia.com/ershoufang/101106417347.html,南北通透四居室，精装修，业主诚心卖
第七街区 ,岳各庄,2室2厅 ,113.61,平米, 南 北 , 其他 , 中楼层(共25层) , 2004年建 , 板塔结合,670,万,https://bj.lianjia.com/ershoufang/101106417252.html,岳各庄南北通透 客卧朝南  满5年唯一
左家庄北里 ,国展,2室1厅 ,57.59,平米, 南 北 , 精装 , 低楼层(共6层) , 1995年建 , 板楼,460,万,https://bj.lianjia.com/ershoufang/101106417143.html,三环内 精装两居 南北通透 好楼层
玉海园三里 ,玉泉路,2室1厅 ,82.65,平米, 南 北 , 其他 , 中楼层(共6层) , 2000年建 , 板楼,650,万,https://bj.lianjia.com/ershoufang/101106417059.html,满五年唯一精装修  中间楼层   南北通透  采光好
馨港庄园三区 ,李桥,3室1厅 ,127.56,平米, 南 北 , 简装 , 中楼层(共6层) , 2004年建 , 板楼,365,万,https://bj.lianjia.com/ershoufang/101106417052.html,中间楼层  满五年唯一  随时看房
芳古园一区 ,方庄,2室1厅 ,71.18,平米, 南 北 , 其他 , 低楼层(共6层) , 1992年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106417046.html,芳古园一区 2室1厅 450万
垂杨柳南里 ,劲松,3室1厅 ,56.98,平米, 南 北 , 简装 , 低楼层(共6层) , 1977年建 , 板楼,360,万,https://bj.lianjia.com/ershoufang/101106417018.html,南北通透  中间楼层   满五唯一  前后无挡  诚意卖
龙锦苑二区 ,回龙观,3室1厅 ,125.24,平米, 南 北 , 其他 , 高楼层(共6层) , 2005年建 , 板楼,480,万,https://bj.lianjia.com/ershoufang/101106417002.html,龙锦苑二区 3室1厅 480万
欣园小区 ,马连道,1室1厅 ,44.95,平米, 南 北 , 毛坯 , 高楼层(共6层) , 1996年建 , 板楼,315,万,https://bj.lianjia.com/ershoufang/101106416961.html,丽泽商务区南北通透低总价一居室钥匙房
果园小区 ,西罗园,2室1厅 ,46,平米, 南 , 其他 , 高楼层(共18层) , 1990年建 , 塔楼,305,万,https://bj.lianjia.com/ershoufang/101106416960.html,果园小区 2室1厅 305万
阳光100 ,CBD,1室0厅 ,48.73,平米, 北 , 其他 , 中楼层(共33层) , 2001年建 , 塔楼,415,万,https://bj.lianjia.com/ershoufang/101106416939.html,阳光100 1室0厅 415万
绿地新都会 ,长阳,2室1厅 ,85.46,平米, 南 , 其他 , 中楼层(共13层) , 2012年建 , 板塔结合,288,万,https://bj.lianjia.com/ershoufang/101106416922.html,您没有看错，是绿地的房子，酒店一样的装修
北方明珠 ,立水桥,1室0厅 ,55.38,平米, 西南 , 简装 , 高楼层(共30层) , 2004年建 , 塔楼,245,万,https://bj.lianjia.com/ershoufang/101106416921.html,北方明珠 1室0厅 245万
富润家园 ,学院路,2室1厅 ,92.64,平米, 东 , 简装 , 高楼层(共27层) , 2003年建 , 板塔结合,760,万,https://bj.lianjia.com/ershoufang/101106416766.html,东向，21层，视野好，夜景漂亮，原值高诚意卖，有钥匙
百环家园 ,双井,2室1厅 ,117.53,平米, 西南 , 其他 , 底层(共26层) , 2005年建 , 板塔结合,518,万,https://bj.lianjia.com/ershoufang/101106416662.html,百环家园 2室1厅 518万
贵都国际 ,天宁寺,2室1厅 ,108.82,平米, 北 , 其他 , 高楼层(共20层) , 2007年建 , 塔楼,420,万,https://bj.lianjia.com/ershoufang/101106416555.html,贵都国际 2室1厅 420万
天露园一区 ,回龙观,3室1厅 ,128.02,平米, 南 北 , 简装 , 顶层(共6层) , 2008年建 , 板楼,429,万,https://bj.lianjia.com/ershoufang/101106416507.html,南北通透户型，大客厅，客厅自带大阳台。
鸿坤理想城四期 ,西红门,2室1厅 ,75.68,平米, 南 , 其他 , 低楼层(共24层) , 2010年建 , 塔楼,280,万,https://bj.lianjia.com/ershoufang/101106416502.html,鸿坤理想城四期 2室1厅 280万
新街坊 ,北苑,3室1厅 ,106.71,平米, 西南 , 精装 , 低楼层(共15层) , 2004年建 , 板塔结合,640,万,https://bj.lianjia.com/ershoufang/101106416436.html,新街坊 3室1厅 640万
望花路西里 ,望京,2室1厅 ,96.93,平米, 西 南 , 其他 , 顶层(共21层) , 1999年建 , 塔楼,630,万,https://bj.lianjia.com/ershoufang/101106416408.html,望花路西里 2室1厅 630万
富贵园三区 ,东花市,3室1厅 ,81.74,平米, 东 , 其他 , 顶层(共16层) , 2002年建 , 塔楼,1000,万,https://bj.lianjia.com/ershoufang/101106416390.html,富贵园三区 3室1厅 1000万
万达广场公寓 ,CBD,2室1厅 ,127.09,平米, 南 北 , 其他 , 低楼层(共30层) , 2005年建 , 塔楼,770,万,https://bj.lianjia.com/ershoufang/101106416330.html,万达广场公寓 2室1厅 770万
雍景四季 ,苹果园,2室2厅 ,102.36,平米, 南 , 其他 , 高楼层(共16层) , 2009年建 , 板塔结合,595,万,https://bj.lianjia.com/ershoufang/101106416315.html,雍景四季 2室2厅 595万
万达广场公寓 ,CBD,2室1厅 ,123.77,平米, 南 北 , 其他 , 中楼层(共27层) , 2005年建 , 塔楼,770,万,https://bj.lianjia.com/ershoufang/101106416274.html,万达广场公寓 2室1厅 770万
新华街四里 ,看丹桥,2室1厅 ,59.1,平米, 南 , 其他 , 低楼层(共6层) , 1996年建 , 板楼,320,万,https://bj.lianjia.com/ershoufang/101106416208.html,新华街四里 2室1厅 320万
佳和宜园 ,马坡,3室1厅 ,90.96,平米, 南 北 , 其他 , 顶层(共6层) , 2009年建 , 板楼,265,万,https://bj.lianjia.com/ershoufang/101106416115.html,佳和宜园 3室1厅 265万
车道沟10号院 ,紫竹桥,2室1厅 ,55.6,平米, 南 北 , 精装 , 中楼层(共5层) , 1979年建 , 板楼,650,万,https://bj.lianjia.com/ershoufang/101106416021.html,车道沟10号院 2室1厅 650万
翠成馨园 ,垡头,2室1厅 ,101.95,平米, 南 北 , 其他 , 中楼层(共13层) , 2007年建 , 板楼,490,万,https://bj.lianjia.com/ershoufang/101106416018.html,南北通透+精装修+两梯四户+高层无遮挡
石园北区 ,顺义城,2室1厅 ,69.57,平米, 南 北 , 简装 , 顶层(共6层) , 2000年建 , 板楼,260,万,https://bj.lianjia.com/ershoufang/101106415966.html,尖顶， 两居室，简单装修，满五年，诚意出售
远见名苑 ,广安门,3室1厅 ,148.17,平米, 南 西 北 , 简装 , 高楼层(共20层) , 2004年建 , 板塔结合,1599,万,https://bj.lianjia.com/ershoufang/101106415912.html,远见名苑南北通透板楼三居室  商品房
裕中东里 ,马甸,3室1厅 ,71.5,平米, 南 北 , 简装 , 低楼层(共6层) , 1990年建 , 板楼,1100,万,https://bj.lianjia.com/ershoufang/101106415863.html,裕中东里 3室1厅 1100万
花雨汀 ,南邵,2室1厅 ,90.17,平米, 南 北 , 其他 , 中楼层(共12层) , 2014年建 , 板楼,330,万,https://bj.lianjia.com/ershoufang/101106415833.html,花雨汀 2室1厅 330万
团结湖东里 ,团结湖,3室1厅 ,79.78,平米, 东南 , 其他 , 高楼层(共16层) , 1992年建 , 塔楼,588,万,https://bj.lianjia.com/ershoufang/101106415720.html,CBD 团结湖 高层 精装带电梯三居室拎包入住夜景好
金隅丽港城 ,望京,2室2厅 ,91.31,平米, 东北 , 其他 , 中楼层(共26层) , 2000年建 , 塔楼,680,万,https://bj.lianjia.com/ershoufang/101106415618.html,金隅丽港城 2室2厅 680万
天赐良园西三期 ,北关,2室1厅 ,100.25,平米, 南 北 , 简装 , 中楼层(共6层) , 2003年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106415505.html,地铁6号线，南北通透，中间楼层，不临街，不把边
百环家园 ,双井,3室1厅 ,125.59,平米, 东南 , 其他 , 高楼层(共28层) , 2005年建 , 塔楼,699,万,https://bj.lianjia.com/ershoufang/101106415501.html,百环家园 3室1厅 699万
龙城花园北二区 ,回龙观,2室1厅 ,65.64,平米, 南 北 , 简装 , 中楼层(共4层) , 2004年建 , 板楼,320,万,https://bj.lianjia.com/ershoufang/101106415295.html,龙城花园北二区+南北通透两居室+卧室带阳台
金庄1号院 ,四季青,2室1厅 ,77.7,平米, 南 北 , 精装 , 底层(共6层) , 1996年建 , 板楼,577,万,https://bj.lianjia.com/ershoufang/101106415266.html,金庄一号院南北两居室 满两年 采光无遮挡
农科院 ,皂君庙,2室1厅 ,62.9,平米, 东 南 北 , 简装 , 顶层(共4层) , 1963年建 , 板楼,629,万,https://bj.lianjia.com/ershoufang/101106415164.html,农科院 全明格局 楼上有1米高的设备层
和平街十四区 ,和平里,2室1厅 ,54.35,平米, 南 北 , 简装 , 中楼层(共6层) , 1982年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106415118.html,和平街十四区 2室1厅 450万
八角南路 ,八角,2室1厅 ,58.5,平米, 南 , 其他 , 高楼层(共16层) , 1986年建 , 塔楼,310,万,https://bj.lianjia.com/ershoufang/101106415083.html,八角南路 2室1厅 310万
永安西里 ,城关,2室1厅 ,58.27,平米, 南 北 , 其他 , 高楼层(共6层) ,  , 暂无数据,135,万,https://bj.lianjia.com/ershoufang/101106414926.html,永安西里 2室1厅 135万
水色时光一区 ,顺义其它,4室1厅 ,161.72,平米, 南 北 , 其他 , 底层(共3层) , 2004年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106414856.html,下叠别墅，私家花园，精装修，诚意出售
世纪金色嘉园 ,北京南站,1室0厅 ,23.8,平米, 南 , 其他 , 中楼层(共30层) , 2003年建 , 塔楼,210,万,https://bj.lianjia.com/ershoufang/101106414839.html,世纪金色嘉园 1室0厅 210万
永乐东区 ,鲁谷,2室1厅 ,48.82,平米, 东 , 其他 , 顶层(共5层) , 1978年建 , 板楼,240,万,https://bj.lianjia.com/ershoufang/101106414832.html,永乐东区 2室1厅 240万
望潮家园 ,顺义城,2室1厅 ,98.44,平米, 东南 , 精装 , 高楼层(共18层) , 2008年建 , 塔楼,350,万,https://bj.lianjia.com/ershoufang/101106414830.html,望潮家园 观景两居室 东南向 电梯高层采光好
CRD银座 ,鲁谷,2房间2卫 ,55.73,平米, 东 , 其他 , 中楼层(共16层) , 2010年建 , 板塔结合,199,万,https://bj.lianjia.com/ershoufang/101106414802.html,CRD银座 2房间2卫 199万
古城环卫楼 ,杨庄,2室1厅 ,54.28,平米, 北 南 , 其他 , 中楼层(共5层) , 1981年建 , 板楼,245,万,https://bj.lianjia.com/ershoufang/101106414798.html,古城环卫楼 2室1厅 245万
首开国风美仑 ,通州其它,3室1厅 ,88.85,平米, 南 北 , 其他 , 底层(共16层) , 2014年建 , 板楼,340,万,https://bj.lianjia.com/ershoufang/101106414764.html,首开国风美仑南北通透三居室，一层带地下室
久敬佳园一区 ,和义,2室1厅 ,99.6,平米, 南 北 , 其他 , 高楼层(共6层) , 2007年建 , 板楼,460,万,https://bj.lianjia.com/ershoufang/101106414749.html,久敬佳园一区 2室1厅 460万
